Number,Layer,Title,Author,Type,Status
330,Peer Services,Transaction announcements reconciliation,"Gleb Naumenko, Pieter Wuille",Standard,Draft
331,Peer Services,Ancestor Package Relay,Gloria Zhao,Standard,Draft
337,API/RPC,Compressed Transactions,Tom Briar,Standard,Draft
338,Peer Services,Disable transaction relay message,Suhas Daftuar,Standard,Withdrawn
339,Peer Services,WTXID-based transaction relay,Suhas Daftuar,Standard,Final
340,,Schnorr Signatures for secp256k1,"Pieter Wuille, Jonas Nick, Tim Ruffing",Standard,Final
341,Consensus (soft fork),Taproot: SegWit version 1 spending rules,"Pieter Wuille, Jonas Nick, Anthony Towns",Standard,Final
342,Consensus (soft fork),Validation of Taproot Scripts,"Pieter Wuille, Jonas Nick, Anthony Towns",Standard,Final
343,Consensus (soft fork),Mandatory activation of taproot deployment,"Shinobius, Michael Folkson",Standard,Final
345,Consensus (soft fork),OP_VAULT,"James O'Beirne, Greg Sanders",Standard,Draft
347,Consensus (soft fork),OP_CAT in Tapscript,"Ethan Heilman, Armin Sabouri",Standard,Draft
348,Consensus (soft fork),CHECKSIGFROMSTACK,"Brandon Black, Jeremy Rubin",Standard,Draft
349,Consensus (soft fork),OP_INTERNALKEY,"Brandon Black, Jeremy Rubin",Standard,Draft
350,Applications,Bech32m format for v1+ witness addresses,Pieter Wuille,Standard,Final
351,Applications,Private Payments,"Alfred Hodler, Clark Moody",Informational,Draft
352,Applications,Silent Payments,"josibake, Ruben Somsen",Standard,Proposed
353,Applications,DNS Payment Instructions,"Matt Corallo, Bastien Teinturier",Standard,Draft
370,Applications,PSBT Version 2,Ava Chow,Standard,Final
371,Applications,Taproot Fields for PSBT,Ava Chow,Standard,Final
372,Applications,Pay-to-contract tweak fields for PSBT,Maxim Orlovsky,Standard,Draft
373,Applications,MuSig2 PSBT Fields,Ava Chow,Standard,Proposed
374,Applications,Discrete Log Equality Proofs,"Andrew Toth, Ruben Somsen, Sebastian Falbesoner",Standard,Draft
375,Applications,Sending Silent Payments with PSBTs,"Andrew Toth, Ava Chow, josibake",Standard,Draft
379,Applications,Miniscript,"Pieter Wuille, Andrew Poelstra, Sanket Kanjalkar, Antoine Poinsot, Ava Chow",Informational,Draft
380,Applications,Output Script Descriptors General Operation,"Pieter Wuille, Ava Chow",Informational,Final
381,Applications,Non-Segwit Output Script Descriptors,"Pieter Wuille, Ava Chow",Informational,Final
382,Applications,Segwit Output Script Descriptors,"Pieter Wuille, Ava Chow",Informational,Final
383,Applications,Multisig Output Script Descriptors,"Pieter Wuille, Ava Chow",Informational,Final
384,Applications,combo() Output Script Descriptors,"Pieter Wuille, Ava Chow",Informational,Final
385,Applications,raw() and addr() Output Script Descriptors,"Pieter Wuille, Ava Chow",Informational,Final
386,Applications,tr() Output Script Descriptors,"Pieter Wuille, Ava Chow",Informational,Final
387,Applications,Tapscript Multisig Output Script Descriptors,"Pieter Wuille, Ava Chow",Informational,Final
388,Applications,Wallet Policies for Descriptor Wallets,Salvatore Ingala,Standard,Proposed
389,Applications,Multipath Descriptor Key Expressions,Ava Chow,Informational,Draft
390,Applications,musig() Descriptor Key Expression,Ava Chow,Informational,Draft
431,Applications,Topology Restrictions for Pinning,Gloria Zhao,Informational,Draft
